n l nu dnu
12 2 1488.24 0.51
13 0 1495.00 0.07
13 1 1541.92 0.07
13 2 1591.29 0.19
14 0 1598.69 0.07
14 1 1645.06 0.09
14 2 1694.17 0.17
15 0 1700.91 0.08
15 1 1747.15 0.08
15 2 1795.75 0.11
16 0 1802.31 0.07
15 3 1838.52 0.67
16 1 1848.98 0.05
16 2 1898.26 0.10
17 0 1904.61 0.06
16 3 1941.22 0.56
17 1 1952.00 0.05
17 2 2001.67 0.08
18 0 2007.58 0.05
17 3 2045.98 0.37
18 1 2055.52 0.05
18 2 2105.31 0.06
19 0 2110.91 0.04
18 3 2149.94 0.13
19 1 2159.15 0.04
19 2 2208.90 0.06
20 0 2214.22 0.05
19 3 2253.53 0.16
20 1 2262.54 0.05
20 2 2312.54 0.09
21 0 2317.32 0.05
20 3 2357.39 0.19
21 1 2366.25 0.06
21 2 2416.25 0.13
22 0 2420.90 0.08
21 3 2462.08 0.38
22 1 2470.30 0.08
22 2 2520.46 0.21
23 0 2525.07 0.16
22 3 2566.97 0.61
23 1 2574.78 0.13
23 2 2624.32 0.32
24 0 2629.20 0.18
23 3 2669.76 1.04
24 1 2679.87 0.19
24 2 2730.23 0.89
25 0 2733.61 0.46
25 1 2784.22 0.35
25 2 2835.34 1.15
26 0 2838.40 0.78
26 1 2891.27 0.74
26 2 2941.48 1.54
27 0 2945.32 1.18
27 1 2996.38 1.19
